"query","tags","ONTOLOGY_ID","ONTOLOGY_term","eval","score","method","version","to_check"
"blackleg","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"bladder cancer","disease","DOID:4007","bladder dome cancer",0,-1,"manual",2024,"True"
"blood disease banana","disease","DOID:4","disease",0,100,"token_set_ratio,term",2024,"False"
"blood disease of banana","disease","DOID:4","disease",0,100,"token_set_ratio,term",2024,"False"
"blood infection","symptom","SYMP:0000227,DOID:0050117","blood vessel infection",0,-1,"manual",2024,"True"
"blood stream","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"blood stream infection","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"blood stream infections","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"bloodstream infection","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"bloodstream infection , septic shock , severe pneumonia","disease,symptom","DOID:0050117,SYMP:0000451,DOID:552","disease infectious agent,septic shock,pneumonia",0,-1,"manual",2024,"False"
"bloodstream infections","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"bloody diarrhea","symptom,disease","SYMP:0020011,DOID:13250","bloody diarrhea,diarrhea",0,-1,"manual",2024,"False"
"bloody diarrhea , pneumonia , septicemia","disease,symptom","DOID:13250,SYMP:0019148,DOID:552","diarrhea,septicemia,pneumonia",0,-1,"manual",2024,"False"
"bloody diarrhea complicated hemolytic uremic syndrome ( hus )","disease","DOID:13250,DOID:12554","diarrhea,hemolyticuremic syndrome",0,-1,"manual",2024,"False"
"bloody diarrhea complicated hemolytic uremic syndrome (hus)","disease","DOID:12554,DOID:13250",,0,-1,"manual",2024,"False"
"bloody diarrhea, pneumonia, septicemia","disease,symptom","DOID:13250,DOID:552,SYMP:0019148","diarrhea,pneumonia,septicemia",0,100,"token_set_ratio,term",2024,"False"
"bloody diarrhea/hus","disease","DOID:12554,DOID:13250","hemolyticuremic syndrome,diarrhea",0,-1,"manual",2024,"False"
"bone joint infection","disease","DOID:0050117,DOID:0080001","disease infectious agent,bone disease",0,-1,"manual",2024,"False"
"bone marrow transplant","disease","DOID:4961","bone marrow disease",1,-1,"manual",2024,"False"
"borrelia miyamotoi disease","disease","DOID:0070527","borrelia miyamotoi disease",1,100,"exact,term",2024,"False"
"borrelia miyamotoi disease ( hard tickborne relapsing fever )","disease","DOID:0070527","borrelia miyamotoi disease",1,100,"token_set_ratio,term",2024,"False"
"borrelia miyamotoi disease (hard tick-borne relapsing fever)","disease","DOID:0070527","borrelia miyamotoi disease",0,-1,"manual",2024,"False"
"borreliosis, lyme","disease","DOID:11729",,0,95,"wratio,exact_synonym",2024,"False"
"botulism","disease","DOID:11976",,1,100,"exact,term",2024,"False"
"bovine mastitis","disease,ecosystem","DOID:10690","mastitis",1,-1,"manual",2024,"True"
"bovine spirochetosis","disease","DOID:104","bacterial infectious disease",1,-1,"manual",2024,"False"
"brain abscess","disease","DOID:331,SYMP:0000672",,0,-1,"manual",2024,"True"
"brain congestion","disease,symptom","SYMP:0000237,DOID:936","congestion,brain disease",0,-1,"manual",2024,"False"
"brain damage","disease","DOID:936",,1,-1,"manual",2024,"False"
"brain infarction","disease","DOID:3454","brain infarction",1,100,"exact,term",2024,"False"
"brainstem edema","disease,symptom","SYMP:0000538,DOID:936",,0,-1,"manual",2024,"False"
"breast cancer , pneumonia , sepsis","disease","DOID:552,DOID:1612,DOID:0050117","pneumonia",0,-1,"manual",2024,"True"
"breast cancer, pneumonia, sepsis","disease","DOID:1612,DOID:552,DOID:0050117",,0,-1,"manual",2024,"False"
"breast implant associated infection","disease","DOID:0050117",,1,-1,"manual",2024,"False"
"bronchial granuloma","disease","DOID:850","lung disease",0,-1,"manual",2024,"False"
"bronchiectasis","disease","DOID:9563","bronchiectasis",1,100,"exact,term",2024,"False"
"bronchitis acuta","disease","DOID:6132","bronchitis",1,100,"token_set_ratio,term",2024,"False"
"broncho pneumonia","disease","DOID:12375","bronchopneumonia",1,96.969696969697,"wratio,term",2024,"False"
"bronchopneumonia","disease","DOID:12375","bronchopneumonia",1,100,"exact,term",2024,"False"
"brucellosis","disease","DOID:11077","brucellosis",1,100,"exact,term",2024,"False"
"bsi","disease","DOID:0050117","disease infectious agent",1,-1,"manual",2024,"False"
"bubonic plague","disease","DOID:10773","bubonic plague",1,100,"exact,term",2024,"False"
"burn injury","disease","DOID:4","disease",1,-1,"manual",2024,"False"
"buruli ulcer","disease","DOID:0050456","buruli ulcer disease",0,100,"token_set_ratio,term",2024,"False"
"caked bag",,-1,,1,-1,"not_assigned",2024,"False"
"calculus","disease","DOID:9589","urethral calculus",1,100,"token_set_ratio,term",2024,"True"
"campylobacter gastroenteritis","disease","DOID:13622","campylobacteriosis",0,-1,"manual",2024,"False"
"campylobacteriosis","disease","DOID:13622",,1,100,"exact,term",2024,"False"
"cancer","disease","DOID:162","cancer",1,100,"exact,term",2024,"False"
"cancer , immunosuppressed","disease","DOID:162","cancer",1,100,"token_set_ratio,term",2024,"False"
"canine pyoderma","disease,ecosystem","DOID:4223","pyoderma",0,-1,"manual",2024,"True"
"carbapenem resistant","encoded_trait",-1,,1,-1,"not_assigned",2024,"False"
"carbapenem resistant klebsiella pneumoniae infection","disease","DOID:13272",,1,-1,"manual",2024,"False"
"carcinoma situ","disease","DOID:162","lip carcinoma situ",0,-1,"manual",2024,"True"
"cardiac failure","disease","SYMP:0000292,DOID:6000","congestive heart failure",0,-1,"manual",2024,"True"
"cardiovascular disease","disease","DOID:1287","cardiovascular system disease",1,95,"wratio,term",2024,"False"
"carriage",,-1,,0,-1,"not_assigned",2024,"False"
"carrier","disease","DOID:4","disease",1,-1,"manual",2024,"False"
"catarrhal enteritis hepatosplenomegaly","disease,symptom","DOID:5295,SYMP:0000039,SYMP:0000047",,0,-1,"manual",2024,"True"
"cellulitis","disease","DOID:3488","cellulitis",1,100,"exact,term",2024,"False"
"central lineassociated bacterial bloodstream infection","disease","DOID:104",,0,-1,"manual",2024,"False"
"central lineassociated bloodstream infection","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"central nervous system infection","disease","DOID:331,DOID:0050117",,0,-1,"manual",2024,"False"
"central venous line infection/ colonization","disease","DOID:0050117,DOID:866","disease infectious agent,vein disease",0,-1,"manual",2024,"False"
"cepacia syndrome","disease","DOID:0070528","cepacia syndrome",1,100,"exact,term",2024,"False"
"cerebral contusin","disease","DOID:936",,1,-1,"manual",2024,"False"
"cerebral hemorrhage","symptom","SYMP:0020056","cerebrovascular accident",1,100,"wratio,exact_synonym",2024,"False"
"cerebral hemorrhage , pulmonary infection","disease,symptom","DOID:936,SYMP:0000041,DOID:850,DOID:0050117","brain disease,hemorrhage,lung disease,disease infectious agent",0,-1,"manual",2024,"False"
"cerebral hemorrhage, pulmonary infection","disease","DOID:850,DOID:6713","lung disease,cerebrovascular disease",1,-1,"manual",2024,"False"
"cerebral infarction","disease","DOID:3526","cerebral infarction",1,100,"exact,term",2024,"False"
"cerebral palsy","disease","DOID:1969","cerebral palsy",1,100,"exact,term",2024,"False"
"cerebral vascular accident","symptom,disease","SYMP:0020056,DOID:6713","cerebrovascular accident",0,-1,"manual",2024,"False"
"cerebrovascular disease hemiplegia","disease","DOID:6713",,1,95,"wratio,term",2024,"False"
"cerebrovascular hemiplegia","disease","DOID:10969","hemiplegia",1,100,"token_set_ratio,term",2024,"False"
"cervical and waist syndrome","disease","DOID:4",,0,-1,"manual",2024,"False"
"cervical cancer","disease","DOID:4362","cervical cancer",1,100,"exact,term",2024,"False"
"cervical waist syndrome","disease","DOID:225",,1,100,"token_set_ratio,term",2024,"False"
"chd & hbp & dm","disease","DOID:3393,SYMP:0020064,DOID:9351","coronary artery disease",0,-1,"manual",2024,"True"
"chd&amp;hbp&amp;dm","disease","DOID:3393",,1,100,"token_set_ratio,exact_synonym",2024,"False"
"chlamydia infection","disease","DOID:11263","chlamydia",1,97.4358974358974,"wratio,exact_synonym",2024,"False"
"chlamydial infection","disease","DOID:11263","chlamydia",1,100,"wratio,exact_synonym",2024,"False"
"cholangitis","disease","DOID:9446","cholangitis",1,100,"exact,term",2024,"False"
"cholecystitis","disease","DOID:1949","cholecystitis",1,100,"exact,term",2024,"False"
"choledocholithiasis","disease","DOID:11755","choledocholithiasis",1,100,"exact,term",2024,"False"
"cholelithiasis","disease","DOID:10211","cholelithiasis",1,100,"exact,term",2024,"False"
"cholera","disease","DOID:1498","cholera",1,100,"exact,term",2024,"False"
"chorioamnionitis","disease","DOID:0050697","chorioamnionitis",1,100,"exact,term",2024,"False"
"chronic bronchitis","disease","DOID:6132","bronchitis",1,100,"wratio,exact_synonym",2024,"False"
"chronic cystitis","disease","DOID:1680","chronic cystitis",1,100,"exact,term",2024,"False"
"chronic disease","disease","DOID:4","chronic kidney disease",0,-1,"manual",2024,"True"
"chronic gastritis","disease","DOID:4029","chronic maxillary sinusitis",0,-1,"manual",2024,"False"
"chronic kidney disease","disease","DOID:784","chronic kidney disease",1,100,"exact,term",2024,"False"
"chronic kidney disease , stage5","disease","DOID:784","chronic kidney disease",1,95,"wratio,term",2024,"False"
"chronic kidney disease, stage5","disease","DOID:784","chronic kidney disease",1,95,"wratio,term",2024,"False"
"chronic kidney failure associated gout","disease","DOID:13189,DOID:784","gout,chronic kidney disease",0,-1,"manual",2024,"False"
"chronic obstructive pneumonia","disease","DOID:552","pneumonia",1,100,"token_set_ratio,term",2024,"False"
"chronic obstructive pulmonary disease","disease","DOID:3083","chronic obstructive pulmonary disease",1,100,"exact,term",2024,"False"
"chronic purulent sinusitis","disease","DOID:0050127","sinusitis",1,100,"token_set_ratio,term",2024,"False"
"chronic renal failure","disease","DOID:1074","chronic kidney disease",0,-1,"manual",2024,"True"
"chronic renal insufficiency","disease","DOID:784","chronic kidney disease",0,-1,"manual",2024,"False"
"chronic respiratory failure","disease","DOID:11162","respiratory failure",1,95,"wratio,term",2024,"False"
"chronic rhinosinusitis nasal polyp","disease","DOID:0050127,DOID:4483","sinusitis,rhinitis",0,-1,"manual",2024,"False"
"chronic rhinosinusitis with nasal polyps","disease","DOID:0050127,DOID:4483","sinusitis,rhinitis",0,-1,"manual",2024,"False"
"chronic rhinosinusitis without nasal polyp","disease","DOID:0050127,DOID:4483","sinusitis,rhinitis",0,-1,"manual",2024,"False"
"chronic wound","wound",-1,,1,-1,"not_assigned",2024,"False"
"cirrhosis","disease","DOID:5082","liver cirrhosis",1,100,"wratio,exact_synonym",2024,"False"
"cirrhosis and hepatitis","disease","DOID:2237","hepatitis",1,100,"token_set_ratio,term",2024,"False"
"cirrhosis hepatitis","disease","DOID:2237,DOID:5082",,0,-1,"manual",2024,"True"
"class ii wound","disease","DOID:4",,1,-1,"manual",2024,"False"
"class iii wound","wound",-1,,1,-1,"not_assigned",2024,"False"
"class iv infection","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"class iv wound","disease","DOID:4","disease",1,-1,"manual",2024,"False"
"clinical",,-1,,1,-1,"manual",2024,"False"
"clinical cure daptomycin+nafcillin",,-1,,1,-1,"not_assigned",2024,"False"
"clinical infection","disease","DOID:0050117",,0,-1,"manual",2024,"False"
"clinically healthy","healthy",-1,,0,-1,"manual",2024,"False"
"clostridioides difficile infection","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"clostridium difficile","disease","DOID:0060185","clostridium difficile colitis",1,95,"wratio,term",2024,"False"
"colibacillosis","disease","DOID:104",,1,-1,"manual",2024,"False"
"colonisation",,-1,,1,-1,"not_assigned",2024,"False"
"colonised",,-1,,1,-1,"not_assigned",2024,"False"
"colonization",,-1,,1,-1,"not_assigned",2024,"False"
"colonization/trachitis","disease","DOID:9392,DOID:0050117","tracheitis,disease infectious agent",0,-1,"manual",2024,"False"
"colonized",,-1,,0,-1,"manual",2024,"False"
"coma recurrent lung infection","symptom","DOID:850,DOID:0050117","coma",0,-1,"manual",2024,"False"
"commensal",,-1,,0,-1,"manual",2024,"True"
"commensale",,-1,,1,-1,"not_assigned",2024,"False"
"community acquited pneumonia","disease","DOID:552","pneumonia",1,100,"token_set_ratio,term",2024,"False"
"communityacquired urinary tract infection","disease","DOID:0080784","urinary tract infection",1,100,"token_set_ratio,term",2024,"False"
"compound ulcer","disease","DOID:10808","gastric ulcer",0,-1,"manual",2024,"False"
"concussion","disease","DOID:0081292","traumatic brain injury",1,-1,"manual",2024,"False"
"congenital heart disease","disease","DOID:1682","congenital heart disease",1,100,"exact,term",2024,"False"
"contaminant",,-1,,1,-1,"manual",2024,"False"
"copd","disease","DOID:3083","chronic obstructive pulmonary disease",1,100,"wratio,exact_synonym",2024,"False"
"coronary graft","disease","DOID:3393","coronary artery disease",1,-1,"manual",2024,"False"
"coronary heart disease","disease","DOID:3393","coronary artery disease",1,100,"wratio,exact_synonym",2024,"False"
"cough","symptom","SYMP:0000614","cough",1,100,"exact,term",2024,"False"
"covid-19","disease","DOID:0080600","covid19",1,100,"exact,term",2024,"False"
"covid19","disease","DOID:0080600","covid19",1,100,"exact,term",2024,"False"
"covid19 , severe","disease","DOID:0081013","severe covid19",1,95,"wratio,term",2024,"False"
"crab infection","encoded_trait,disease","DOID:3091",,0,-1,"manual",2024,"False"
"craniocerebral trauma","disease","DOID:936","brain disease",1,-1,"manual",2024,"False"
"cre colonization",,-1,,1,-1,"not_assigned",2024,"False"
"crohn disease","disease","DOID:8778","crohn disease",1,100,"exact,term",2024,"False"
"crohn's disease","disease","DOID:8778","crohn disease",1,100,"exact,term",2024,"False"
"crown gall","disease","DOID:104","bacterial infectious disease",0,-1,"manual",2024,"False"
"cure",,-1,,1,-1,"not_assigned",2024,"False"
"cured","healthy",-1,,0,-1,"manual",2024,"False"
"cutaneous infection","disease","DOID:0050117","disease infectious agent",0,-1,"manual",2024,"False"
"cvl infection","disease","DOID:0050117","disease infectious agent",0,-1,"manual",2024,"False"
"cystic fibosis associated infection","disease","DOID:1485,DOID:0050117","cystic fibrosis,disease infectious agent",0,-1,"manual",2024,"False"
"cystic fibrosis","disease","DOID:1485","cystic fibrosis",1,100,"exact,term",2024,"False"
"cystitis","disease","DOID:1679","cystitis",1,100,"exact,term",2024,"False"
"d014552",,-1,,1,-1,"not_assigned",2024,"False"
"death",,-1,,0,-1,"manual",2024,"False"
"deceased",,-1,,1,-1,"not_assigned",2024,"False"
"deep wound lesion","disease","DOID:4",,0,-1,"manual",2024,"False"
"delayed hypersensitivity pneumonitis rash","disease","DOID:0060056,DOID:552,SYMP:0000487",,0,-1,"manual",2024,"False"
"dental caries","disease","DOID:216",,1,100,"exact,term",2024,"False"
"dermatitis","disease","DOID:2723","dermatitis",1,100,"exact,term",2024,"False"
"diabetes","disease","DOID:9351","diabetes mellitus",1,100,"wratio,exact_synonym",2024,"False"
"diabetes , hypertension","disease","DOID:10763,DOID:9351","hypertension",0,-1,"manual",2024,"False"
"diabetes mellitus","disease","DOID:9351","diabetes mellitus",1,100,"exact,term",2024,"False"
"diabetes, hypertension","disease","DOID:9351,DOID:10763","diabetes mellitus,hypertension",0,-1,"manual",2024,"False"
"diabetic foot infection","disease","DOID:0050117,DOID:9351","disease infectious agent,diabetes mellitus",0,-1,"manual",2024,"False"
"diarheal","disease","DOID:13250","diarrhea",1,-1,"manual",2024,"False"
