Input_host,Assigned_host,Assigned_method,Eval,Final_host,Version,Source
animal-cattle-heifer,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
animal-cattle-steer,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
animal-cattle-steer (lymph node),Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
aphis craccivora (cowpea aphid) on robinia pseudoacacia (locust),Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef burger,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef carpaccio,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef cattle feces - rectal grab,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef deli slices,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef from cattle peranakan ongole,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef liver,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef ribs,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
beef sausage link,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bos primigenius taurus,Bos taurus,ete3,True,Bos taurus,20231103,Host
bos taurus,Bos taurus,ete3,True,Bos taurus,20231103,Host
bos taurus coreanae (korean native cattle),Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,Host
bovine,Bos taurus,ncbi_taxonomy,True,Bos taurus,20231103,Host
"bovine (bobby calf, fecal)",Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bovine carcass,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bovine faeces,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bovine feces,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bovine mastitis,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bovine pre-evisceration carcass at harvest,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
bovine rumen,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
brown headed cow bird,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,Host
calf igloo,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
calf liver,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cattle,Bos taurus,ncbi_taxonomy,True,Bos taurus,20231103,Host
cattle faeces,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cattle feces,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cattle hide,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cattle slaughter plant,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cattle slurry,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
collected from calf feces,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
comminuted beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cow,Bos taurus,ncbi_taxonomy,True,Bos taurus,20231103,Host
cow carcass,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cow dung,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cow fecal,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cow feces,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cow raw milk,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
cow rumen,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
dairy cow,Bos taurus,ncbi_taxonomy,True,Bos taurus,20231103,Host
ground beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
ground meat bovine,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
irradiated ground pork and beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
nasal cavities of a calf,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
pickled cowpea,Bos taurus,bos_taurus_synonym,False,Vigna unguiculata,20231103,IsolationSource
pooled cattle faecal samples collected from floor of farm,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
product-raw-intact-beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
raw beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
raw cow milk,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
rectal swab of cattle in slaughterhouse,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
rectal swab of live bovine cattle,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
retail beef liver,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
ripening beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
roast beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
vacuum packed beef,Bos taurus,bos_taurus_synonym,True,Bos taurus,20231103,IsolationSource
botryllus sp.,Botryllus sp.,ete3,True,Botryllus sp.,20231103,Host
branta canadensis,Branta canadensis,ete3,True,Branta canadensis,20231103,Host
canada goose,Branta canadensis,ncbi_taxonomy,True,Branta canadensis,20231103,Host
brassica juncea,Brassica juncea,ete3,True,Brassica juncea,20231103,IsolationSource
brassica juncea var. foliosa,Brassica juncea var. subintegrifolia,ete3,True,Brassica juncea var. subintegrifolia,20231103,Host
brassica oleracea,Brassica oleracea,ete3,True,Brassica oleracea,20231103,Host
brassica oleracea var. capitata,Brassica oleracea var. capitata,ete3,True,Brassica oleracea var. capitata,20231103,Host
cabbage,Brassica oleracea var. capitata,ncbi_taxonomy,True,Brassica oleracea var. capitata,20231103,Host
brassica oleracea var. gemmifera,Brassica oleracea var. gemmifera,ete3,True,Brassica oleracea var. gemmifera,20231103,Host
brassica oleracea var. italica,Brassica oleracea var. italica,ete3,True,Brassica oleracea var. italica,20231103,Host
kale,Brassica oleracea var. viridis,ncbi_taxonomy,True,Brassica oleracea var. viridis,20231103,Host
brassica rapa,Brassica rapa,ete3,True,Brassica rapa,20231103,Host
brassica rapa subsp. chinensis,Brassica rapa subsp. chinensis,ete3,True,Brassica rapa subsp. chinensis,20231103,Host
brassica rapa subsp. pekinensis,Brassica rapa subsp. pekinensis,ete3,True,Brassica rapa subsp. pekinensis,20231103,Host
chinese cabbage,Brassica rapa subsp. pekinensis,ncbi_taxonomy,True,Brassica rapa subsp. pekinensis,20231103,Host
brassica tournefortii,Brassica tournefortii,ete3,True,Brassica tournefortii,20231103,Host
brevicoryne brassicae,Brevicoryne brassicae,ete3,True,Brevicoryne brassicae,20231103,Host
broussonetia papyrifera,Broussonetia papyrifera,ete3,True,Broussonetia papyrifera,20231103,Host
bubalus bubalis,Bubalus bubalis,ete3,True,Bubalus bubalis,20231103,Host
buteo jamaicensis,Buteo jamaicensis,ete3,True,Buteo jamaicensis,20231103,Host
cecum,Caecum,fuzzy_sci,False,unknown,20231103,IsolationSource
caenorhabditis briggsae,Caenorhabditis briggsae,ete3,True,Caenorhabditis briggsae,20231103,Host
caenorhabditis elegans,Caenorhabditis elegans,ete3,True,Caenorhabditis elegans,20231103,Host
calliactis tricolor,Calliactis tricolor,ete3,True,Calliactis tricolor,20231103,Host
calliandra calothyrsus,Calliandra calothyrsus,ete3,True,Calliandra calothyrsus,20231103,Host
callosobruchus maculatus,Callosobruchus maculatus,ete3,True,Callosobruchus maculatus,20231103,Host
callyspongia,Callyspongia,ete3,True,Callyspongia,20231103,Host
camellia oleifera,Camellia oleifera,ete3,True,Camellia oleifera,20231103,Host
camellia sinensis,Camellia sinensis,ete3,True,Camellia sinensis,20231103,Host
camelus dromedarius,Camelus dromedarius,ete3,True,Camelus dromedarius,20231103,Host
campeiostachys tsukushiensis,Campeiostachys tsukushiensis,ete3,True,Campeiostachys tsukushiensis,20231103,Host
camponotus chromaiodes,Camponotus chromaiodes,ete3,True,Camponotus chromaiodes,20231103,Host
camponotus japonicus,Camponotus japonicus,ete3,True,Camponotus japonicus,20231103,Host
cancer pagurus,Cancer pagurus,ete3,True,Cancer pagurus,20231103,Host
canicola,Canicola,ete3,True,Canicola,20231103,Host
canis,Canis,ete3,True,Canis,20231103,Host
canis latrans,Canis latrans,ete3,True,Canis latrans,20231103,Host
canis lupus,Canis lupus,ete3,True,Canis lupus,20231103,Host
canis lupus familiaris,Canis lupus familiaris,ete3,True,Canis lupus familiaris,20231103,Host
canis lupus familiaris dachshund,Canis lupus familiaris,fuzzy_sci,True,Canis lupus familiaris,20231103,Host
canis lupus familiaris poodle,Canis lupus familiaris,fuzzy_sci,True,Canis lupus familiaris,20231103,Host
dog,Canis lupus familiaris,ncbi_taxonomy,True,Canis lupus familiaris,20231103,Host
canis lupus familiaris mixed breed,Canis lupus x canis lupus familiaris,fuzzy_sci,False,Canis lupus familiaris,20231103,Host
capra aegagrus hircus,Capra hircus,ete3,True,Capra hircus,20231103,Host
capra hircus,Capra hircus,ete3,True,Capra hircus,20231103,Host
goat,Capra hircus,ncbi_taxonomy,True,Capra hircus,20231103,Host
ibex,Capra ibex,ncbi_taxonomy,True,Capra ibex,20231103,Host
caprine,Caprinae,fuzzy_sci,True,Caprinae,20231103,Host
capsella bursa-pastoris,Capsella bursa-pastoris,ete3,True,Capsella bursa-pastoris,20231103,Host
pepper,Capsicum,fuzzy_common,True,Capsicum,20231103,Host
capsicum annuum,Capsicum annuum,ete3,True,Capsicum annuum,20231103,Host
capsicum frutescens,Capsicum frutescens,ete3,True,Capsicum frutescens,20231103,Host
capsicum sp.,Capsicum sp. m84,fuzzy_sci,True,Capsicum sp. m84,20231103,Host
carassius auratus,Carassius auratus,ete3,True,Carassius auratus,20231103,Host
crucian carp,Carassius carassius,ncbi_taxonomy,True,Carassius carassius,20231103,Host
cassida sp.,Cassida sp.,ete3,True,Cassida sp.,20231103,Host
cassida vibex,Cassida vibex,ete3,True,Cassida vibex,20231103,Host
cassida viridis,Cassida viridis,ete3,True,Cassida viridis,20231103,Host
casuarina equisetifolia,Casuarina equisetifolia,ete3,True,Casuarina equisetifolia,20231103,Host
catalpa,Catalpa,ete3,True,Catalpa,20231103,Host
catharanthus roseus,Catharanthus roseus,ete3,True,Catharanthus roseus,20231103,Host
guinea pig,Cavia porcellus,ncbi_taxonomy,True,Cavia porcellus,20231103,Host
cerambycidae sp.,Cerambycidae sp.,ete3,True,Cerambycidae sp.,20231103,Host
ceratitis capitata,Ceratitis capitata,ete3,True,Ceratitis capitata,20231103,Host
ceratovacuna japonica,Ceratovacuna japonica,ete3,True,Ceratovacuna japonica,20231103,Host
cercis occidentalis,Cercis occidentalis,ete3,True,Cercis occidentalis,20231103,Host
cereibacter sphaeroides 2.4.1,Cereibacter sphaeroides 2.4.1,ete3,True,Cereibacter sphaeroides 2.4.1,20231103,Host
deer,Cervidae,ncbi_taxonomy,True,Cervidae,20231103,Host
white-lipped deer,Cervus albirostris,ncbi_taxonomy,True,Cervus albirostris,20231103,IsolationSource
red deer,Cervus elaphus,ncbi_taxonomy,True,Cervus elaphus,20231103,IsolationSource
chaeturichthys stigmatias,Chaeturichthys stigmatias,ete3,True,Chaeturichthys stigmatias,20231103,Host
chamaecytisus prolifer,Chamaecytisus prolifer,ete3,True,Chamaecytisus prolifer,20231103,Host
chamaeleonidae,Chamaeleonidae,ete3,True,Chamaeleonidae,20231103,IsolationSource
channa argus,Channa argus,ete3,True,Channa argus,20231103,Host
charidotella sexpunctata,Charidotella sexpunctata,ete3,True,Charidotella sexpunctata,20231103,Host
chelymorpha alternans,Chelymorpha alternans,ete3,True,Chelymorpha alternans,20231103,Host
grean algae,Chlorophyta,fuzzy_common,True,Chlorophyta,20231103,Host
brown headed,Chroicocephalus brunnicephalus,fuzzy_common,True,Chroicocephalus brunnicephalus,20231103,Host
chroicocephalus novaehollandiae,Chroicocephalus novaehollandiae,ete3,True,Chroicocephalus novaehollandiae,20231103,Host
black-headed gull,Chroicocephalus ridibundus,ncbi_taxonomy,True,Chroicocephalus ridibundus,20231103,IsolationSource
chrysanthemum,Chrysanthemum,ete3,True,Chrysanthemum,20231103,Host
chrysanthemum x morifolium,Chrysanthemum x morifolium,ete3,True,Chrysanthemum x morifolium,20231103,Host
chrysomallon squamiferum,Chrysomallon squamiferum,ete3,True,Chrysomallon squamiferum,20231103,Host
cicer arietinum,Cicer arietinum,ete3,True,Cicer arietinum,20231103,Host
cicer arietinum l.,Cicer arietinum,fuzzy_sci,True,Cicer arietinum,20231103,Host
cichorium endivia,Cichorium endivia,ete3,True,Cichorium endivia,20231103,Host
white stork,Ciconia ciconia,ncbi_taxonomy,True,Ciconia ciconia,20231103,Host
cinara cedri,Cinara cedri,ete3,True,Cinara cedri,20231103,Host
cinara cf. splendens/pseudotsugae 3390,Cinara cf. splendens/pseudotsugae 3390,ete3,True,Cinara cf. splendens/pseudotsugae 3390,20231103,Host
cinara confinis,Cinara confinis,ete3,True,Cinara confinis,20231103,Host
cinara curvipes,Cinara curvipes,ete3,True,Cinara curvipes,20231103,Host
cinara fornacula,Cinara fornacula,ete3,True,Cinara fornacula,20231103,Host
cinara kochiana kochiana,Cinara kochiana kochiana,ete3,True,Cinara kochiana kochiana,20231103,Host
cinara laricifoliae,Cinara laricifoliae,ete3,True,Cinara laricifoliae,20231103,Host
cinara piceae,Cinara piceae,ete3,True,Cinara piceae,20231103,Host
cinara pseudotaxifoliae,Cinara pseudotaxifoliae,ete3,True,Cinara pseudotaxifoliae,20231103,Host
cinara pseudotsugae,Cinara pseudotsugae,ete3,True,Cinara pseudotsugae,20231103,Host
cinara splendens,Cinara splendens,ete3,True,Cinara splendens,20231103,Host
cinara strobi,Cinara strobi,ete3,True,Cinara strobi,20231103,Host
cistudinella sp.,Cistudinella,fuzzy_sci,True,Cistudinella,20231103,Host
citrus,Citrus,ete3,True,Citrus,20231103,Host
citrus hystrix,Citrus hystrix,ete3,True,Citrus hystrix,20231103,Host
citrus reticulata,Citrus reticulata,ete3,True,Citrus reticulata,20231103,Host
mandarin orange,Citrus reticulata,ncbi_taxonomy,True,Citrus reticulata,20231103,Host
citrus sinensis,Citrus sinensis,ete3,True,Citrus sinensis,20231103,Host
sweet orange,Citrus sinensis,ncbi_taxonomy,True,Citrus sinensis,20231103,Host
citrus spp.,Citrus sp.,fuzzy_sci,True,Citrus sp.,20231103,Host
citrus x aurantiifolia,Citrus x aurantiifolia,ete3,True,Citrus x aurantiifolia,20231103,Host
citrus x limon,Citrus x limon,ete3,True,Citrus x limon,20231103,Host
citrus x paradisi,Citrus x paradisi,ete3,True,Citrus x paradisi,20231103,Host
