"query","method","eval","tags","version","source","TAXONOMY_UID"
"aerobic biological filter recirculating aquaculture plant","ete4,inmapping,token_set_ratio",1,"aquatic,aquaculture",2024,"type",-1
"aerobic blood culture bottle","ete4,inmapping,token_set_ratio",1,"host_associated,circulatory_system,blood,cell_culture",2024,"type",-1
"aerobic microbial decomposition whole defoliated guayule ( retting )","ete4,token_set_ratio,common",0,"material,organic",2024,"type",-1
"aeromonas salmonicida j223 thermal shock","ete4,inmapping,wratio",1,"host_associated",2024,"type",29491
"aeschynomene fluminensis","manual",0,"host_associated",2024,"host_name",561486
"aesculus hippocastanum","ete3",1,"host_associated",20231103,"Host",43364
"afbdiseased colony","not_assigned",1,,20231103,"IsolationSource",-1
"africa","ete4,token_set_ratio,sci",0,"location",2024,"type",-1
"african elephant","ete4,inmapping,wratio",1,"host_associated",2024,"type",9784
"agalychnis callidryas","ete4,exact",1,"host_associated",2024,"Host",197464
"agar plate","not_assigned",1,"cell_culture",20231103,"IsolationSource",-1
"agave americana l .","fuzzy_sci",1,"host_associated",20231103,"Host",39510
"aglaonema","ete3",1,"host_associated",20231103,"IsolationSource",174181
"aglaonema sp .","fuzzy_sci",1,"host_associated",20231103,"Host",174181
"agnum bog","not_assigned",1,,20231103,"IsolationSource",-1
"agnum peat","not_assigned",1,,20231103,"IsolationSource",-1
"agr","not_assigned",0,,2024,"type",-1
"agricultural environment","ete4,inmapping,token_set_ratio",0,"anthropogenic",2024,"type",-1
"agricultural field","not_assigned",1,"terrestrial,anthropogenic,soil",20231103,"IsolationSource",-1
"agricultural field ( no bean grown 5 previous year )","ete4,inmapping,token_set_ratio",0,"terrestrial,anthropogenic,soil",2024,"type",-1
"agricultural settling","not_assigned",1,"terrestrial,anthropogenic,soil",20231103,"IsolationSource",-1
"agricultural settling lagoon","environmental",1,"aquatic,lagoon",20231103,"IsolationSource",-1
"agricultural soil","environmental",1,"anthropogenic,soil",20231103,"IsolationSource",-1
"agroiconota sp .","fuzzy_sci",1,"host_associated",20231103,"Host",111206
"agrosavia","not_assigned",1,,20231103,"IsolationSource",-1
"ahpnd infected litopenaeus vannamei","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",6689
"ahpnd infected penaeus japonicus","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",27405
"ahpnd infected shrimp","ete4,inmapping,token_set_ratio",0,"host_associated,disease",2024,"type",6685
"ailuropoda melanoleuca","ete3",1,"host_associated",20231103,"Host",9646
"air","not_assigned",1,"gaseous",20231103,"IsolationSource",-1
"air conditioning","not_assigned",1,"anthropogenic",20231103,"IsolationSource",-1
"air conditioning system","ete4,inmapping,wratio",1,"anthropogenic",2024,"type",-1
"air cow shed","ete4,inmapping,wratio",0,"gaseous,farm",2024,"type",-1
"air laboratory","ete4,inmapping,wratio",0,"gaseous,laboratory",2024,"type",-1
"air sac","ete4,inmapping,token_set_ratio",0,"host_associated,airsac",2024,"type",-1
"air sac turkey condemned byairsacculitis","ete4,inmapping,token_set_ratio",0,"host_associated,airsac,disease",2024,"type",9103
"air sample","not_assigned",1,"gaseous","20231103_v2","IsolationSource",-1
"airway","ete4,inmapping,token_set_ratio",0,"host_associated,respiratory_system",2024,"type",-1
"airway cystic fibrosis patient","ete4,token_set_ratio,common",0,"host_associated,respiratory_system,disease",2024,"type",9606
"airway lavage fluid","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",-1
"alces alces","manual",0,"host_associated",2024,"host_name",9852
"alcohol foam","not_assigned",1,"anthropogenic",20231103,"IsolationSource",-1
"alcohol foam dispenser hospital intensive care unit","not_assigned",1,"anthropogenic,hospital",20231103,"IsolationSource",-1
"alectorobius puertoricensis","ete3",1,"host_associated",20231103,"Host",48824
"alectorobius rudis","ete3",1,"host_associated",20231103,"Host",2058922
"alexandrium minutum","ete3",1,"host_associated",20231103,"Host",39455
"alexandrium ostenfeldii","ete3",1,"host_associated",20231103,"Host",40986
"alfalfa","ncbi_taxonomy",1,"host_associated",20231103,"Host",3879
"alfalfa nodule","ete4,token_set_ratio,common",0,"host_associated,soil,rhizosphere",2024,"type",3879
"alfalfa out","not_assigned",0,"host_associated",20231103,"IsolationSource",3879
"alfalfa seed","ete4,token_set_ratio,common",1,"host_associated",2024,"type",3879
"alfalfa sprout","ete4,token_set_ratio,common",0,"food",2024,"type",-1
"algae","ete4,inmapping,token_set_ratio",0,"material,organic",2024,"type",-1
"algae aquaculture","not_assigned",1,"aquatic,aquaculture",20231103,"IsolationSource",-1
"algae metagenome","ete4,inmapping,token_set_ratio",0,"material,organic",2024,"type",-1
"algae mud","ete4,inmapping,token_set_ratio",1,"wetland,mud",2024,"type",-1
"algal culture","ete4,inmapping,token_set_ratio",0,"material,organic",2024,"type",-1
"algal mat","not_assigned",1,"aquatic",20231103,"IsolationSource",-1
"algal mat kahneetah hot spring","ete4,inmapping,token_set_ratio",0,"aquatic,freshwater,spring,hot,location",2024,"type",-1
"algal phycoere","not_assigned",1,"aquatic",20231103,"IsolationSource",-1
"algal phycosphere","ete4,inmapping,wratio",1,"aquatic",2024,"type",-1
"alhagi sparsifolia shap .","fuzzy_sci",1,"host_associated",20231103,"Host",218100
"alive","not_assigned",1,,20231103,"Host",-1
"alkaline ing","not_assigned",1,,20231103,"IsolationSource",-1
"alkaline pool","not_assigned",1,"aquatic,artificial,pool",20231103,"IsolationSource",-1
"alkaline pool submerged anode electrode","ete4,inmapping,token_set_ratio",1,"aquatic,artificial,pool,alkaline",2024,"type",-1
"alkaline spring","ete4,inmapping,token_set_ratio",0,"aquatic,spring,alkaline",2024,"type",-1
"allacta bimaculata","ete3",1,"host_associated",20231103,"Host",2093428
"allamanda cathartica","ete3",1,"host_associated",20231103,"Host",52818
"alle alle ( dovekie )","fuzzy_sci",0,"host_associated","20231103_v2","Host",28691
"alligator","ete3",1,"host_associated",20231103,"Host",8495
"allium ampeloprasum","ete3",1,"host_associated","20231103_v2","Host",4681
"allium cepa","ete3",1,"host_associated",20231103,"Host",4679
"allium cepa ( onion )","manual",0,"host_associated",2024,"host_name",4679
"allium cepa l .","fuzzy_sci",1,"host_associated",20231103,"Host",4679
"allium fistulosum","ete3",1,"host_associated","20231103_v2","Host",35875
"alloplastic vascular graft","not_assigned",1,"material,organic",20231103,"IsolationSource",-1
"allpurpose wheat","not_assigned",0,"host_associated",20231103,"IsolationSource",4565
"allpurpose wheat flour","ete4,inmapping,wratio",0,"food",2024,"type",-1
"almond drupe","not_assigned",0,"host_associated",20231103,"IsolationSource",3755
"alopochen aegyptiaca","ete3",1,"host_associated",20231103,"Host",30382
"alpaca","not_assigned",0,"host_associated",20231103,"IsolationSource",30538
"alpaca , fecal","ete4,inmapping,wratio",0,"host_associated,gastrointestinal_system,fecal",2024,"type",30538
"alpine forest soil","environmental",1,"terrestrial,forest,soil",20231103,"IsolationSource",-1
"alpine peat","not_assigned",1,"terrestrial,peat",20231103,"IsolationSource",-1
"alpine peat bog","ete4,inmapping,wratio",1,"terrestrial,peat",2024,"type",-1
"alpine seep","not_assigned",0,"host_associated",2024,"type",9940
"alvinocaris longirostris","ete3",1,"host_associated",20231103,"Host",337181
"alydus tomentosus","manual",0,"host_associated",2024,"host_name",881520
"amazona aestiva","ete3",1,"host_associated",20231103,"Host",12930
"amazona sp .","ete3",1,"host_associated",20231103,"Host",1661781
"amblyomma cajennense","ete3",1,"host_associated",20231103,"Host",34607
"amblyomma neumanni","ete3",1,"host_associated",20231103,"Host",251388
"amblyomma varanense ex . varanus salvator","ete4,inmapping,token_set_ratio",1,"host_associated",2024,"type",62051
"amblyomma variegatum ( cattle tick )","bos_taurus_synonym",1,"host_associated",20231103,"Host",9913
"american alligator water tank","ete4,inmapping,wratio",1,"aquatic,artificial",2024,"type",-1
"american cockroach","ncbi_taxonomy",1,"host_associated",20231103,"Host",6978
"amerindian gastritis patient","ete4,token_set_ratio,common",0,"host_associated,disease",2024,"type",9606
"amniotic fluid","ete4,token_set_ratio,sci",0,"host_associated,placenta",2024,"type",-1
"amoeba proteus","ete3",1,"host_associated","20231103_v2","Host",5775
"amphibia","ete3",1,"host_associated",20231103,"Host",8292
"amphicarpaea bracteata","ete3",1,"host_associated",20231103,"Host",45679
"ana crecca","ete3",1,"host_associated",20231103,"Host",75839
"ana platyrhynchos","ete3",1,"host_associated",20231103,"Host",8839
"anabaena culture","not_assigned",0,"cell_culture",20231103,"IsolationSource",-1
"anabas testudineus","ete3",1,"host_associated",20231103,"Host",64144
"anadara tuberculosa","ete3",1,"host_associated",20231103,"Host",173065
"anaerobic digester","not_assigned",1,"wastewater,anaerobic,anaerobic_digester",20231103,"IsolationSource",-1
"anaerobic digestion effluent chicken manure","ete4,inmapping,token_set_ratio",1,"wastewater,anaerobic",2024,"type",-1
"anaerobic effluent","not_assigned",1,"wastewater,anaerobic",20231103,"IsolationSource",-1
"anaerobic effluent swine manure","ete4,inmapping,token_set_ratio",1,"wastewater,anaerobic",2024,"type",-1
"anaerobic environment","ete4,inmapping,wratio",1,"anaerobic",2024,"type",-1
"anaerobic sewer","not_assigned",1,"wastewater,anaerobic",20231103,"IsolationSource",-1
"anaerobic sewer sludge","not_assigned",1,"wastewater,sludge",20231103,"IsolationSource",-1
"anal","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anal sample","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anal swab","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anal swab healthy pig","ete4,token_set_ratio,common",0,"host_associated,gastrointestinal_system,fecal",2024,"type",9823
"anal swab sample collected livestock farm","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anal swab sample swine origin","ete4,inmapping,wratio",1,"host_associated,gastrointestinal_system,rectal",2024,"type",9823
"anal swab specimen","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anasa tristis","ete3",1,"host_associated",20231103,"Host",236421
"ancherythroculter nigrocauda","manual",0,"host_associated",2024,"host_name",263419
"anderson lake","not_assigned",1,"aquatic,freshwater,lake,location",20231103,"IsolationSource",-1
"andong rice","not_assigned",1,"food",20231103,"IsolationSource",-1
"andong sikhe ( andong rice punch )","ete4,inmapping,token_set_ratio",1,"food",2024,"type",-1
"andrias davidianus","ete3",1,"host_associated",20231103,"IsolationSource",141262
"androsace kosopoljanskii","ete3",1,"host_associated",20231103,"Host",229444
"angelica gigas","ete3",1,"host_associated",20231103,"IsolationSource",85712
"angelica gigas nakai root surface","ete4,inmapping,token_set_ratio",0,"soil,rhizosphere",2024,"type",85712
"angelica sinensis dlies","fuzzy_sci",1,"host_associated",20231103,"Host",165353
"anguilla anguilla","ete3",1,"host_associated",20231103,"Host",7936
"anguilla bicolor","ete3",1,"host_associated",20231103,"Host",61124
"anguilla japonica","ete3",1,"host_associated",20231103,"Host",7937
"anguilla marmorata","ete3",1,"host_associated",20231103,"Host",7939
"anhui","not_assigned",1,,"20231103_v2","IsolationSource",-1
"animal","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",-1
"animal , carcass dead zebra","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",89248
"animal droppings","not_assigned",1,"host_associated",20231103,"IsolationSource",-1
"animal faecal","not_assigned",1,"host_associated,fecal",20231103,"IsolationSource",-1
"animal faecal matter","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,fecal",2024,"type",-1
"animal farm , personnel hand","ete4,inmapping,wratio",1,"host_associated,skin",2024,"type",9606
"animal farm , personnel throat","ete4,inmapping,wratio",1,"host_associated,respiratory_system",2024,"type",9606
"animal feces","not_assigned",1,"host_associated,fecal",20231103,"IsolationSource",-1
"animal feed","not_assigned",1,"host_associated",20231103,"IsolationSource",-1
"animal hide","not_assigned",1,"host_associated",20231103,"IsolationSource",-1
"animal_env","not_assigned",1,"host_associated",20231103,"Host",-1
"animalcalfbob veal","bos_taurus_synonym",1,"host_associated",20231103,"IsolationSource",9913
"animalcattle heifer","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9913
"animalcattlebeef cow","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9913
"animalcattlebeef cow ( cecal )","ete4,inmapping,wratio",1,"host_associated,gastrointestinal_system,cecal",2024,"type",9913
"animalcattledairy cow","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9913
"animalcattleheifer","bos_taurus_synonym",1,"host_associated",20231103,"IsolationSource",9913
"animalcattlesteer","bos_taurus_synonym",1,"host_associated",20231103,"IsolationSource",9913
"animalcattlesteer ( lymph node )","bos_taurus_synonym",1,"host_associated",20231103,"IsolationSource",9913
"animalchickenyoung chicken","ete4,token_set_ratio,common",1,"host_associated",2024,"type",9031
"animalsheepmature sheep ( cecal )","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,cecal",2024,"type",9940
"animalswinemarket swine","not_assigned",1,"host_associated",20231103,"IsolationSource",9823
"animalswinesow","not_assigned",0,"host_associated",20231103,"IsolationSource",9823
"animalturkeyyoung turkey","not_assigned",0,"host_associated",20231103,"IsolationSource",9103
"annual mediterranean","not_assigned",1,,20231103,"Host",-1
"anodic biofilm","not_assigned",1,"anthropogenic,biofilm",20231103,"IsolationSource",-1
"anodic biofilm glucosefed microbial fuel cell originally inoculated sewage sludge","ete4,inmapping,wratio",1,"wastewater,biofilm",2024,"type",-1
"anodonta arcaeformis","ete3",1,"host_associated",20231103,"Host",265753
"anomalops katoptron","manual",0,"host_associated",2024,"host_name",181433
"anorectal swab","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,fecal",2024,"type",-1
"anqing","ete4,exact",0,"location",2024,"type",-1
"anser","ete3",1,"host_associated",20231103,"Host",8842
"antarctic iceberg","not_assigned",1,"aquatic,location",20231103,"IsolationSource",-1
"antarctic sea","not_assigned",1,"aquatic,marine,sea,location",20231103,"IsolationSource",-1
"antarctic sea ice","ete4,inmapping,wratio",1,"aquatic,marine,sea,location",2024,"type",-1
"antarctic soil","environmental",1,"soil,location",20231103,"IsolationSource",-1
"antarctica : sea king george island","ete4,inmapping,token_set_ratio",0,"terrestrial,island,location",2024,"type",-1
"antarctica sediment","environmental",1,"sediment,location",20231103,"IsolationSource",-1
"anteater area","not_assigned",0,"host_associated",20231103,"Host",71006
"anterior naris","not_assigned",1,,20231103,"IsolationSource",-1
"antho dichotoma","not_assigned",1,,20231103,"Host",-1
"anthropogenic","not_assigned",1,"anthropogenic",20231103,"IsolationSource",-1
"anthurium","manual",0,"host_associated",2024,"host_name",78377
"antibiotic associated diarrhea , human","human_synonym",1,"host_associated,disease",20231103,"IsolationSource",9606
"antimony mine","not_assigned",1,,20231103,"IsolationSource",-1
"antirrhinum majus","ete3",1,"host_associated",20231103,"Host",4151
"anus","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anus swab","ete4,inmapping,token_set_ratio",0,"host_associated,gastrointestinal_system,rectal",2024,"type",-1
"anus swab patient hospitalacquired infection","ete4,inmapping,wratio",0,"host_associated,gastrointestinal_system,rectal,disease",2024,"type",9606
"anus swab sample","not_assigned",1,"host_associated,gastrointestinal_system,rectal",20231103,"IsolationSource",-1
"aphid robinia pseudoacacia ( locust )","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",80764
"aphis craccivora","ete3",1,"host_associated",20231103,"Host",307492
"aphis craccivora ( cowpea aphid )","fuzzy_syn",1,"host_associated",20231103,"Host",307492
"aphis craccivora ( cowpea aphid ) robinia pseudoacacia ( locust )","ete4,inmapping,token_set_ratio",0,"host_associated",2024,"type",307492
"aphis fabae","ete3",1,"host_associated",20231103,"Host",191316
"aphis glycine","ete3",1,"host_associated",20231103,"Host",307491
"aphis helianthi","ete3",1,"host_associated",20231103,"Host",224533
"aphis urticata","ete3",1,"host_associated",20231103,"Host",715377
"apis cerana","manual",0,"host_associated",2024,"host_name",7461
"apis mellifera","ete3",1,"host_associated",20231103,"Host",7460
"apis mellifera hindgut","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system,hindgut",2024,"type",7460
"apis mellifera iberiensis","ete3",1,"host_associated",20231103,"Host",346609
"apium graveolens","ete3",1,"host_associated",20231103,"Host",4045
"aplicable","ete4,inmapping,wratio",1,,2024,"type",-1
"apodemus agrarius","ete3",1,"host_associated",20231103,"Host",39030
"apostichopus japonicus","ete3",1,"host_associated",20231103,"Host",307972
"appendix","ete4,token_set_ratio,sci",0,"host_associated,gastrointestinal_system",2024,"type",-1
"appendix abscess","ete4,inmapping,token_set_ratio",1,"host_associated,gastrointestinal_system",2024,"type",-1
"apple","ncbi_taxonomy",1,"host_associated",20231103,"Host",3750
